"Parlamentar";"Cargo_Legislativo";"Partido";"UF";"Genero";"MesaDiretora"
"Nelson Wedekin";"Senador";"PMDB";"SC";"Homem";"Sem cargo"
"Ney Maranhão";"Senador";"PMB";"PE";"Homem";"Sem cargo"
"Nivaldo Machado";"Senador";"PFL";"PE";"Homem";"Sem cargo"
"Odacir Soares";"Senador";"PFL";"RO";"Homem";"Sem cargo"
"Olavo Pires";"Senador";"PMDB";"RO";"Homem";"Sem cargo"
"Pompeu De Souza";"Senador";"PSDB";"DF";"Homem";"Sem cargo"
"Rachid Saldanha Derzi";"Senador";"PMDB";"MS";"Homem";"Sem cargo"
"Raimundo Lira";"Senador";"PMDB";"PB";"Homem";"Sem cargo"
"Roberto Campos";"Senador";"PDS";"MT";"Homem";"Sem cargo"
"Ronaldo Aragão";"Senador";"PMDB";"RO";"Homem";"Sem cargo"
"Ronan Tito";"Senador";"PMDB";"MG";"Homem";"Sem cargo"
"Ruy Bacelar";"Senador";"PMDB";"BA";"Homem";"Sem cargo"
"Severo Gomes";"Senador";"PMDB";"SP";"Homem";"Sem cargo"
"Teotônio Vilela Filho";"Senador";"PMDB";"AL";"Homem";"Sem cargo"
"Virgílio Távora";"Senador";"PDS";"CE";"Homem";"Sem cargo"
"Wilson Martins";"Senador";"PMDB";"MS";"Homem";"Sem cargo"
